pmid,title,journal,year,compound,endpoint,activity,evidence
39547089,The impact of high exposure to perfluoroalkyl substances and risk for hormone re,Environment international,2024,PFHxS,endocrine,1.0,"positive_kw=3, negative_kw=0"
35318009,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in you,Environmental research,2022,PFOA,NR-AR,1.0,"positive_kw=2, negative_kw=1"
35318009,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in you,Environmental research,2022,PFOA,hepatotoxicity,1.0,"positive_kw=2, negative_kw=1"
35318009,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in you,Environmental research,2022,PFOA,endocrine,1.0,"positive_kw=2, negative_kw=1"
35318009,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in you,Environmental research,2022,PFOA,developmental,1.0,"positive_kw=2, negative_kw=1"
35318009,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in you,Environmental research,2022,PFDA,NR-AR,1.0,"positive_kw=2, negative_kw=1"
35318009,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in you,Environmental research,2022,PFDA,hepatotoxicity,1.0,"positive_kw=2, negative_kw=1"
35318009,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in you,Environmental research,2022,PFDA,endocrine,1.0,"positive_kw=2, negative_kw=1"
35318009,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in you,Environmental research,2022,PFDA,developmental,1.0,"positive_kw=2, negative_kw=1"
35318009,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in you,Environmental research,2022,PFHxS,NR-AR,1.0,"positive_kw=2, negative_kw=1"
35318009,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in you,Environmental research,2022,PFHxS,hepatotoxicity,1.0,"positive_kw=2, negative_kw=1"
35318009,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in you,Environmental research,2022,PFHxS,endocrine,1.0,"positive_kw=2, negative_kw=1"
35318009,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in you,Environmental research,2022,PFHxS,developmental,1.0,"positive_kw=2, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFOA,NR-AR,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFOA,hepatotoxicity,1.0,"positive_kw=5, negative_kw=1"
41222812,Assessing PFAS mixture exposure and thyroid function in U.S. adolescents: insigh,Environmental science and pollution research international,2025,PFOA,endocrine,1.0,"positive_kw=5, negative_kw=1"
