pmid,title,journal,year,compounds,endpoints,values,source
35948114,"Health impacts of artificial turf: Toxicity studies, challenges, and future directions.","Environmental pollution (Barking, Essex : 1987)",2022,,toxicity,,PMID:35948114
41255867,"Environmental behavior and human health risks of PFAS: occurrence, toxicity, and the state-of-the-art removal approaches.",RSC advances,2025,,BCF; toxicity,,PMID:41255867
40431401,Perfluoroalkyl and Polyfluoroalkyl Substances (PFAS) and Vitamin Metabolism: A Nutritional Perspective on an Emerging Environmental Health Issue.,Nutrients,2025,,BCF; toxicity,,PMID:40431401
41252967,Perfluoroalkyl and polyfluoroalkyl substances contamination in dairy: A global perspective.,The Science of the total environment,2025,PFOA; PFOS,BCF; toxicity,,PMID:41252967
40301256,Unveiling the Research Void: Exploring the Reproductive Effects of PFAS Compounds on Male Health.,Advances in experimental medicine and biology,2025,,toxicity,,PMID:40301256
33033332,Endocrine disruption of vitamin D activity by perfluoro-octanoic acid (PFOA).,Scientific reports,2020,PFOA,toxicity,,PMID:33033332
37162486,Quantifying the impact of PFOA exposure on B-cell development and antibody production.,Toxicological sciences : an official journal of the Society of Toxicology,2023,PFOA,toxicity,,PMID:37162486
40243467,Impact of Persistent Endocrine-Disrupting Chemicals on Human Nuclear Receptors: Insights from In Silico and Experimental Characterization.,International journal of molecular sciences,2025,,BCF,,PMID:40243467
35202277,Early Warnings by Liver Organoids on Short- and Long-Chain PFAS Toxicity.,Toxics,2022,PFOA; PFOS,BCF; toxicity,,PMID:35202277
37505537,Research Progress on Neurodevelopmental Toxicity in Offspring after Indirect Exposure to PFASs in Early Life.,Toxics,2023,,toxicity,,PMID:37505537
38013950,[The history of emerging substances in Austria].,Osterreichische Wasser- und Abfallwirtschaft,2022,,toxicity,,PMID:38013950
35480371,Major contaminants of emerging concern in soils: a perspective on potential health risks.,RSC advances,2022,,toxicity,,PMID:35480371
34721300,Adverse Impact of Environmental Chemicals on Developmental Origins of Kidney Disease and Hypertension.,Frontiers in endocrinology,2021,,NR-AhR; toxicity,,PMID:34721300
40981347,Evaluation of Endocrine Disruptome and VirtualToxLab for Predicting Per- and Polyfluoroalkyl Substances Binding to Nuclear Receptors.,Journal of xenobiotics,2025,FOSA,NR-AR,,PMID:40981347
36906028,EU need to protect its environment from toxic per- and polyfluoroalkyl substances.,The Science of the total environment,2023,PFOS,toxicity,,PMID:36906028
